,message
14,"Экспансия “Золотой Балки” по России продолжается. На Дальний Восток, в том числе. На днях состоялось открытие еще одного бутика крымских вин с винным баром в далеком Хабаровске. И это за 9500 километров от Балаклавы!

Кроме того, в ближайшее время ожидается открытие еще одного магазина по франшизе - уже в Нижнем Новгороде. 

И, конечно, расширяется сеть фирменных магазинов “Золотая Балка” в Крыму. На прошлой неделе в крымской столице открылся еще один фирменный магазин, через время ждет открытия магазин в г.Керчь. В августе-сентябре запланировано открытие еще трех магазинов в Москве и трех в Московской области: в Видном, Красногорске и Одинцово.

Приводим обновленный список фирменных магазинов ”Золотая Балка” и бутиков крымских вин: 
📍г.Москва, ул. Люсиновская 36/50
📍г.Москва, ул. 1-я Брестская 66
📍г.Москва, ул. Бауманская 7, стр.1
📍г.Санкт-Петербург, пр.Московский, 172, лит.А
📍г.Хабаровск, ул.Муравьева-Амурского, 32
📍г.Севастополь, Балаклава, ул. Крестовского 66
📍г.Севастополь, Балаклава, пл.1 Мая
📍г.Севастополь, пр. Октябрьской Революции 48
📍г.Севастополь, ул. Б.Морская 8
📍г.Симферополь, ул. Пушкина 10
📍г.Симферополь, ул. 60 лет Октября, 12
📍г.Евпатория, пр. Ленина 29б
📍г.Ялта, ул. Московская 29
📍г.Феодосия, ул.Чкалова 113а

‼️Не забудьте сохранить этот пост ❤️"
15,"Игристое для особого случая

Нестандартные формы бутылок (от “малышей” формата 375 мл до гигантских размеров) - это всегда отличная идея для подарка или особого случая. Делимся с вами некоторыми лайфхаками:
🍾Половинки (0,375л) подойдут для подарочных букетов или корзин.
🍾Большие форматы бутылок (от магнума и больше) - это идеальный подарок для ценителей игристого вина, ведь чем больше бутылка, тем медленнее вино в нем созревает. 
🍾По этой же причине стоит дарить бутылки больших форматов юбилярам.
🍾Бутылкой магнума (или даже лучше Мафусаила) можно чествовать победителя любых состязаний (не обязательно связанных со спортом). 
🍾Всевозможные форматы бутылок разнообразят любой фуршет или торжество: вместо стандартных бокалов-флейт с игристым на аперитив можно подавать гостям персональные мини-бутылки с трубочками, а горка шампанского будет гораздо эффектнее, если на пирамиду из бокалов лить вино из большой бутылки.
🍾Ну, и конечно, наполнить ванну из шампанского быстрее из бутылок больших форматов 😉

#ZB_weekend"
16,"Друзья, наши коллеги- Парк живой истории ""Федюхины высоты"" приглашает на кулинарные мастер-классы в средневековую усадьбу Локо Чимбали. 
 
Вы научитесь высекать огонь из камня, добывать воду из колодца, молоть муку в жерновах, подбирать ингредиенты и сами приготовите вкуснейшие старинные угощения. Конечно, в конце вы сможете съесть результаты ваших веселых трудов с лимонадом :) 
 
Расписание мастер-классов: 
Суббота и воскресенье 11:00, 13:00, 15:00"
17,"Дорогие гости Шампанерии, спешим сообщить, что с 1 июля вносятся некоторые изменения в винные туры и их тарифы. С актуальными ценами вы сможете ознакомиться на сайте винного туризма zbtour.ru.

Хотим напомнить, что наши винные туры разнообразны как по своей информационной, так и дегустационной насыщенности. С тем, как появляются новые вина в линейках наших вин, они вводятся в соответствующие туры. Например, новинки от #LocoCimbali_winery Orange и Pinot Meunier можно будет продегустировать в рамках Loco-тура. 

А для тех, кто уже был ранее на экскурсиях, но хочет вернуться снова, хотим сообщить, что в этом сезоне у нас запустится новый экскурсионный маршрут по производству. 

Кроме того, отдел винного туризма “Золотой Балки” организовывает мероприятия “под ключ” для компаний от 10 человек. Не в Шампанерии, а вдали от суеты и основных туристических маршрутов, в средоточии естественной красоты природы и морской стихии. Заинтригованы? Все детали по тел. +7 978 784 1440."
18,"Внимание! Внимание!
В крымской столице по адресу: ул. 60 лет Октября, 12 открылся еще один фирменный магазин ""Золотая Балка"".🍾 До конца июля всех покупателей ждут приятные скидки -25 % на игристые и тихие вина (кроме премиальных) производства ""Золотой Балки"". 
Кроме того, при покупке любых 2х бутылок ваш чек участвует в розыгрыше. 
В эту субботу, 2 июля, с 15.00 будет проходить развлекательная программа, а в 18.00 непосредственно сам розыгрыш. Главным призом на этой неделе будет ящик игристого. На следующей же неделе, тоже в субботу, 10 июля будет разыгран супер-приз Яндекс-станция 🎉
Приятных вам покупок в новом фирменном магазине!
Напоминаем адрес: г.Симферополь, ул. 60 лет Октября, 12."
19,"Приглашаем в #ZB_team! 

Винный дом Балаклавы в Москве и Агрофирма ""Золотая Балка"" в Крыму ищут сотрудников. 

🥂В бутик крымских вин в Москве требуется администратор и продавец-консультант. 

✉️резюме отправлять на электронную почту: ta@krymwine.ru [ Москва]

🥂И в Крыму, в связи с открытием новых фирменных магазинов также требуются продавцы-консультанты (г.Севастополь, Симферополь, Феодосия, Керчь). 

📩ждем ваши резюме на электронный адрес: d.grivnak@zbkrim.ru [Крым]"
20,"Вторая суббота июня, четвертая пятница июня или 14 августа - когда отмечать День розе? Мы считаем, что в #винныйкалендарь можно занести все три даты, а, при желании, отмечать этот праздник можно хоть каждый день! И, конечно, нашими розовыми игристыми или тихими винами. Какое, кстати, ваше самое любимое rosé?"
21,"Горчица. Какие ассоциации вызывает у вас это слово? 

Вряд ли те же, что у агрономов. У них горчица ассоциируется не с кулинарией и не народной медициной, а с виноградниками. Многие кормовые и медоносные растения используют в качестве так называемых “зеленых удобрений”, в том числе и горчицу.

Ею засевают поля, подготавливая для дальнейшей закладки виноградника, ее также сеют в междурядьях уже существующих виноградников. Горчица - это прекрасный сидерат: она борется с сорняками, обеззараживает грунт, помогает отгонять вредных насекомых и привлекает своим медовым ароматом пчел, которые заодно опыляют и виноградники.

Ко всем многочисленным преимуществам горчицы в качестве удобрения добавляется еще чисто эстетическое удовольствие, которое она доставляет в период цветения. Спускаясь к нам в Шампанерию с основной трассы, вы сразу заметите будущий виноградник на склоне горы Аскети. На фоне голубого очертания гор, в окружении лесного зеленого массива, сияет, словно золотая медаль, микро-терруар “Кефало-Вриси”. Запомните это название виноградника, вы о нем еще услышите."
22,"Анонс мероприятий от наших коллег - Парка ""Федюхины высоты"". Настоятельно рекомендуем, конечно же, посетить экскурсию по средневековой усадьбе Loco Cimbali, а затем отправиться к нам на премиальную дегустацию одноименных вин."
23,"#ЗБ_история

Сегодняшний День Ламбруско предлагаем отметить нашим отечественным аналогом - красным полусладким игристым вином из линейки ZBFrizzante. 

Ламбруско - это преимущественно красные, слабоигристые и низкоалкогольные вина. Родом с севера Италии, эти вина некогда были так популярны, что их нарекли “итальянской Кока-колой”.

#ZналиЛиВы, что прототипом к созданию нашего красного жемчужного вина Frizzante было “Красное игристое”, которое впервые выпустила “Золотая Балка” в июне 1975 года. Тогда с конвейера сошло 700 тысяч бутылок. Это был фурор на весь Союз. Красное? Игристое? Раньше о таком в СССР никто и не слышал.

А вы пробовали красные игристые вина?"
24,"У нас на заводе свое “поле чудес”. “Крутите барабан!” Да да, именно так. Но вручную никто барабан не крутит. В нашем блоке розлива игристых вин барабан автоматически наливает вино последовательно в 40 бутылок, а в блоке розлива тихих вин в барабане крутятся 24 бутылки. И каждый сектор на нашем “поле чудес” - призовой!🍾

#внутренняяимперия"
25,"Не каждый винный турист может похвастаться тем, что видел, как цветет виноград. 

Период цветения зависит напрямую от температуры воздуха и влажности, да и длится он всего несколько дней и, конечно, не круглосуточно, а всего-то с 7 до 11 утра. 

Цветки опыляются примерно в течение недели и после опыления начинают образовываться завязи - собственно, будущий урожай. 

Но, что интересно, даже при идеальной погоде, опыляются примерно 30-40% цветков, а при дожде и того меньше. 

А вы видели, как цветет виноград? "
26,Самые красивые картины в мире нарисованы Природой. Самый гениальный художник - сама Природа
27,"#внутренняяимперия
Сегодня свой 238 день рождения отмечает город Севастополь и свой первый юбилей - 5 лет - Шампанерия.

За эти пять лет в городе сменилось 3 губернатора, значительно увеличилось население и туристический поток, а у нас за эти 5 лет произошли не менее глобальные изменения:
🤍Обновлено свыше ⅓ площади всех виноградников, а это около 3 миллионов саженцев.
🤍Проведен ребрендинг базовой линейки игристых вин “Золотая Балка” и появились новые торговые марки: Балаклава, ZBwine, ZBFrizzante, ZBMoscato, ZBSpumante
🤍Выпущены премиальные линейки игристых вин Black Prince и Cuvee de Vitmer
🤍Выделен отдельный проект премиального микровиноделия @lococimbali_winery . В проект был приглашен энолог Олег Репин —знаменитый винодел и знаток севастопольского терруара.
🤍Запущен новый цех розлива, позволяющий нам разливать 10 и более миллионов бутылок вина в год
🤍Наши вина теперь представлены практически во всех уголках нашей страны, а количество фирменных магазинов увеличилось до 12 и продолжает расти.
🤍Рядом с Шампанерией благоустроена парковая зона площадью свыше 1 гектара.На территории парка благоустроена детская игровая и спортивная площадки.
🤍На прилегающей к Шампанерии парковой территории за эти годы были высажены всевозможные декоративные многолетники, кедры, вязы, черная береза, гинкго билоба, гранат, шелковица, порядка 5 видов можжевельника, кипарисы, специально из Италии были привезены три пинии, кроме того, в парке представлены розы во всем сортовом многообразии.
🤍На наших виноградниках отгремело несколько масштабных музыкальных и гастрономических фестивалей, каждый год в парке проходят различные мероприятия для детей и взрослых. 

Шампанерия за это время стала поистине Меккой для винных (и не только) туристов. Сюда приезжают не только за покупками и на экскурсии с дегустациями, но и насладиться кухней @zb_rest  и видами на нашу живописную долину.
Но мы не останавливаемся на достигнутом и уже в этом сезоне вас ждет много всего нового, о чем мы пренепременно расскажем.

А пока давайте вспомним, с чего все начиналось и как мы открывали Шампанерию в 2016 году!"
28,"#ZB_вопрос

Вчера по всей стране прошли концерты, вечером отгремели салюты. И это понятно - страна отмечала День России. 

А знаете ли вы, какой у нас завтра двойной праздник? #ZB_ответ опубликуем завтра в нашей ленте! "
29,"#GoldenHour или #золотойчас - это лучшее время для съемки. Поймать его можно дважды в день: сразу после рассвета и за час до заката. Солнце, находясь еще достаточно низко, дает мягкий рассеянный свет, который намного приятнее, чем резкий полуденный свет. 

Мы рекомендуем это время для фотографий на природе, например, на наших виноградниках или на античной смотровой площадке. И, конечно, на панорамной террасе Шампанерии. И не зря каждый день на закате, по традиции в вечерний золотой час, @zb_rest всех гостей встречает бокалом игристого. 

#чинчин"
30,"#Люди_ЗБ

Сегодня день рождения отмечает Генеральный директор Агрофирмы “Золотая Балка” Елена Васильевна Костенко. Предлагаем вам присоединиться к нашим поздравлениям и оставить свои пожелания Елене Васильевне в комментариях."
31,"“Балаклава всего-навсего маленький, тихонький уголок, узенькая щелочка голубого залива среди голых скал, облепленных несколькими десятками домишек”. 

Сто с лишним лет прошло, как Куприн написал эти строки, но, кажется, ничего с тех пор в наших краях не изменилось."
32,"#ZB_настроение

В День русского языка, в день рождения Александра Сергеевича Пушкина не лишним будет раскупорить [с ударением на у́] бутылочку ""вина кометы"" 🍾. Например, Cuvée de Vitmer Brut Rosé.

🎨Ю.Врублевский. Из серии ""Иллюстрации к Пушкину"""
33,"#ZналиЛиВы, что раньше у “Золотой Балки” была даже своя ветка железной дороги. Вино и виноград поставлялись даже на Север и Дальний Восток. 

Сегодня же наша продукция путешествует автотранспортом. Еженедельно около пяти фур отправляются с завода по Крыму и шесть-семь на материк. 

Если хотите узнать, в каких магазинах в вашем городе вы можете найти нашу продукцию, оставьте комментарий под этим постом или напишите нам сообщение. 

#ЗБ_история #внутренняяимперия"
34,"Приближается пора пикников и романтических прогулок. Если вы хотите разнообразить ваш отдых, предлагаем вам лучшие (на наш взгляд) варианты в Балаклаве:

1) Конная прогулка на гору Аскети вдоль виноградников “Золотой Балки” и побережья Черного моря вместе с [club184946944|@zb_horze]

2) Квадротур на холм Конробера с пикником на закате вместе с [club167880735|@kvadroturzb]

3) Романтический ужин в ресторане Шампанерии @zb_rest с традиционным welcome-бокалом игристого на закате.

И, конечно, отправляясь на пикник или на романтическую прогулку, не забудьте любимое вино “Золотой Балки”!"
35,"Если на дегустации вы задаетесь вопросом, как пахнет, к примеру, лист черной смородины и как его “учуял” сомелье в вине из сорта Каберне Совиньон, рекомендуем начать тренировать свои обонятельные рецепторы.

Весна и лето - самое благодатное время для таких тренировок. В Севастополе и Балаклаве в это время - просто буйство ароматов. Сейчас уже отцветает сирень, достаточно поздно в этом году зацвела акация, кое-где можно встретить ландыши, жасмин, вдоль побережья разливаются ароматы разнотравья, а в городе - свежескошенной травы. Все эти цветочные ароматы встречаются в ароматике вин. Поэтому, чтобы блистать на дегустациях, рекомендуем уже сейчас “запасаться” базой ароматов природы.

А всех, кто посещает наш комплекс Шампанерии, обязательно приглашаем в наш парк. Сейчас там цветет красавица-глициния, переплетаясь как своими ветвями, так и нотами ароматов с розой Бэнкс. В каком вине вы уже встречали похожие ароматы?
#внутренняяимперия"
36,"#ZB_Quizzz

Если вы помните, в прошлом году мы уже проводили аналогичный #ZB_Quizzz на внимательность. Тогда вы считали бокалы игристого на картинах американской художницы Триш Биддл.

В этот же раз давайте посчитаем винные бутылки на картинах южноафриканского художника Рональда Веста. А среди самых внимательных мы разыграем #ZBwine Saperavi 2020 года урожая. Приз получит тот, кто первым напишет правильное число в комментариях. И напоминаем, что приз победитель сможет забрать только в одном из наших фирменных магазинов, отправка по России не предусмотрена.

Имя победителя и правильный ответ опубликуем в следующий #ZB_weekend в комментариях под этим постом."
37,"#аЗБука_ЗБ 
Перляж (от фр. Perle - жемчужина) - это отличительная характеристика игристых вин, то есть то, что всегда отличит шампанское/игристое вино от тихого. А простыми словами “перляж” - это игра пузырьков в бокале. 

Перляж может быть устойчивым или прерывистым, хаотичным или организованным в ровные тонкие нити, продолжительным или кратким. Но, что наиболее важно, - размер самих пузырьков должен быть очень мелким. Считается, что чем меньше размер пузырька, тем выше качество игристого вина.

Для визуального наслаждения игрой пузырьков-жемчужин вам потребуется бокал, желательно формы “флют” или “тюльпан”. Некоторые производители стекла наносят на дно специальные насечки, чтобы перляж играл подольше. 

P.S. #ZналиЛиВы, что если бокал обработать спиртом и затем налить в него игристое вино, в тихое оно, конечно, не превратится, но играть в бокале не будет."
38,"Яхта, парус⛵️… 

Сегодня в акватории Севастопольской бухты прошла первая #ZBрегата. Представители ресторанного бизнеса России - команды White Rabbit Family, Novikov Group, Лаки Групп, Perelman People, ресторанный дом Андрея Деллоса, Рестораны Раппопорта, Ginza Group и сборный экипаж виноделен Золотая Балка и Loco Cimbali Winery рассекали волны Черного моря и соревновались в гонках под белыми парусами. Ваши ставки: как вы думаете, кто победил?

Регата организована совместно винодельнями «Золотая Балка» и Loco Cimbali Winery. Рестораторы, топ-менеджеры и шеф-сомелье лучших ресторанных проектов и известных холдингов страны приехали в Севастополь специально, чтобы познать вкус победы в море и вкус севастопольского вина. 🥂🍷"
39,"Уважаемые гости Шампанерии, мы знаем, как вы любите наши дегустационные сеты, но с 1 мая этого года мы вынуждены были ввести новые правила. Теперь насладиться самостоятельной дегустацией винных сетов можно каждый вечер с 18.00 до 20.00. 

С 10.00 до 18.00 ждем вас на экскурсиях, в завершении которых вас ждут разнообразные форматы дегустаций. 

Описание туров вы найдете на сайте zbtour.ru

Бронь и запись на экскурсии через сайт или по тел. +7 978 784 14 40.

Бронь и запись на вечерние дегустации сетов не требуется."
40,"[id379994323|Екатерина] Варнава её друг Биркин желают вам прекрасных выходных. Конечно, вместе с ""Золотой Балкой""!

#ZB_weekend"
41,"Рекомендуем заранее подготовиться к очередному винному празднику и внести его в свой винный календарь! Каждый год 21 мая отмечается Всемирный день Шардоне #ChardonnayDay.

Предлагаем варианты на любой вкус для чествования завтрашнего именинника:

ZBwine Chardonnay

LocoCimbali Chardonnay

🥂Балаклава Chardonnay brut

🥂Black Prince Brut Blanc de Blancs 

🥂Cuvee de Vitmer Brut"
42,"Все знают: вино + сыр = #ИдеальнаяПара
Но так ли это?

На самом деле сыр сыру рознь, да и вино вину тоже.
 
Белые вина сочетаются с сырами лучше, чем красные, поскольку белок казеин, содержащийся в молоке, связывается с танинами, содержащимися в вине, в результате чего вино приобретает металлический привкус. 

Поэтому под красные структурированные вина рекомендуются подавать твердые или полутвердые, солоноватые или ореховые, а также голубые сыры с плесенью. 

▪️ Попробуйте ZBwine Saperavi ➕ Пармезан или ZBwine Bastardo ➕ Рокфор

Розовые вина гармоничны с мягкими молодыми или полутвердыми сырами. 

▪️Попробуйте ZBNatura Rosé c моццареллой или качокавалло.

Брынза, фета, а также козьи сыры идеально подойдут к ароматным сортам вин, например, к ZBwine Riesling или ZBwine Sauvignon Blanc.

Классические игристые вина, например Black Prince или Cuvée de Vitmer, идеально сочетаются с сырами с белой плесенью. Мягкие, жирные сыры - Бри или Камамбер - увеличивают интенсивность ароматики высококислотных игристых вин.

Мускатам же (например, Балаклава Мускат или Moscato) идеальную пару составят сыры с голубой плесенью, например, Горгондзола.

А какое ваше любимое сочетание вина и сыра?"
43,"#ZналиЛиВы, что год назад маки, пылающие своим ярким алым светом вдоль наших виноградников, послужили вдохновением Снежанне Георгиевой @georgievas для создания новой линейки тихих вин #ZBNatura.

#внутренняяимперия"
44,"Времена года: Весна
Виноградники ""Золотая Балка"""
45,"В День Великой Победы хотим почтить память всех героев, кто сражался за Балаклаву, за Севастополь, за Крым, за всю страну, и за весь мир без фашизма. 

Улица, где располагается и наш завод, и Шампанерия, носит имя одного из сыновей войны.  Андрей Васильевич Крестовский был офицером-подводником. В начале войны он руководил штабом подводных лодок Черноморского флота и получил звание капитана 1 ранга.  С 1943 года он руководил 2-й бригадой подводных лодок и совершал боевые походы. Из одного из них он так и не вернулся… 

Л-23 — минно-торпедная подводная лодка, совершившая 15 боевых походов, а также выполнившая 7 рейсов в осаждённый Севастополь, эвакуируя граждан и доставляя боеприпасы, бензин и продовольствие, не вернулась из боевого похода в начале 1944 г. и, вероятно, затонула у берегов Евпатории. Весь экипаж лодки считается пропавшим без вести, в том числе и А.В.Крестовский."
46,"А вы ведете винный календарь? Предлагаем внести в него ещё один винный праздник.🎉 Сегодня День Совиньон Блана. 

И поэтому наша рубрика #ZналиЛиВы будет посвящена только этому сорту. 

Итак, #ZналиЛиВы, что

▪название сорта ""Sauvignon"" происходит от двух французских слов ""sauvage"" (дикий) и ""vigne"" (лоза);

▪одним из родителей Совиньона является древнейший сорт Саваньен (он же Траминер), поэтому ""сводными братьями"" принято считать и Грюнер; Вельтлинер, и Шенен Блан, и Сильванер, и множество других сортов

▪Совиньон Блан, в свою очередь, является родителем сорта Каберне Совиньон. Да, как ни странно, белый сорт, скрестившись с красным Каберне Франом, произвел на свет тоже красный сорт;

▪Первое упоминание о Совиньон Блане датируется 1534 годом,  правда, тогда этот сорт назывался Fiers и именно под таким названием его упоминал Франсуа Рабле в знаменитом романе ""Гаргантюа и Пантагрюэль"";

▪Этот сорт распространен на всех континентах и у его названия несколько десятков синонимов, к примеру: Блан Фюме, Пеллегрина, Мускат Сильванер, Бордо Бьянко,  Фейгентраубе, Пикабон;

▪#ZBwine Совиньон Блан — это первый урожай с лоз, посаженных в 2017 году. "
